,id,latitude,longitude,is_location_exact,Property_ID,bedrooms,price,review_scores_rating,number_of_reviews,std_review,Neighbourhood_ID,cleaning_fee,security_deposit,minimum_nights,instant_bookable,is_business_travel_ready,Cancellation_ID,availability_365,Wifi,TV,kitchen,Distance_from_center,Distance_from_airport
148,189596,52.5304641,13.39889349,1,2002,1,80,97,79,2.651922398,1019,0,100,4,0,0,3003,0,1,0,1,1.2,8.5
149,190448,52.44148568,13.46192776,1,2012,0,50,100,3,2.985222767,1024,0,0,2,0,0,3001,242,1,1,1,9.5,18.5
150,191023,52.51178126,13.40751409,1,2002,1,49,95,40,2.710160023,1003,10,250,1,0,0,3003,0,1,1,1,0.9,10.3
151,192050,52.572409,13.42187128,1,2002,2,55,98,25,2.839400392,1092,75,800,120,0,0,3001,105,1,1,1,5.9,8.6
152,192052,52.52940391,13.3932742,1,2002,0,79,96,212,2.460015814,1019,35,0,2,1,0,3001,6,1,1,1,1.3,8.3
153,192103,52.52957871,13.39171134,1,2002,1,75,97,253,2.46482951,1019,35,0,2,1,0,3001,0,1,1,1,1.4,8.2
154,192499,52.49364793,13.42114888,1,2008,1,49,98,398,2.45934282,1121,0,0,2,0,0,3003,140,1,0,0,3.1,12.3
155,193625,52.52761931,13.3888951,1,2002,1,38,94,341,2.3665206,1003,0,0,3,1,0,3001,43,1,0,0,1.4,8.2
156,194374,52.47739016,13.50793694,1,2005,2,65,84,33,2.459461867,1059,40,0,3,0,0,3001,328,1,1,1,8.4,18
157,194465,52.52044226,13.44498389,1,2004,1,75,98,132,2.583567651,1057,35,250,3,1,0,3001,301,1,1,1,2.7,11.8
158,194546,52.50604469,13.41792918,1,2002,1,75,90,90,2.45328483,1003,35,0,4,1,0,3001,62,1,1,1,1.8,11.2
159,194694,52.51244743,13.4921447,1,2002,1,38,94,101,2.53210949,1009,17,100,3,1,0,3002,142,1,1,1,6,15
160,195467,52.49420771,13.46872818,1,2005,2,89,95,6,2.845882267,1033,30,200,2,0,0,3003,338,1,1,0,5.2,14.7
161,196149,52.53092444,13.40357231,1,2002,2,74,87,301,2.199645839,1019,35,150,2,1,0,3001,66,1,1,1,1.2,8.8
162,196285,52.49689828,13.4234797,1,2002,0,50,95,92,2.574259521,1108,25,0,3,0,0,3003,0,1,0,1,2.9,12.2
163,197291,52.5808857,13.44377284,1,2002,1,120,95,27,2.756689747,1014,0,100,1,0,0,3001,352,1,1,1,7.3,10.2
